Gene_ID	Gene_Name	Rank	PageRank_Score	Gene_Expression_Variance
ENSG00000198400	NTRK1	1	0.0036014375928	0.0008421103685293819
ENSG00000082898	XPO1	2	0.00287313873006	0.09438325650960926
ENSG00000150991	UBC	3	0.0023795484772399997	1005.9589323128869
ENSG00000146648	EGFR	4	0.00229692930609	0.0008091397743071161
ENSG00000177885	GRB2	5	0.0019988319498299998	0.10220935729818191
ENSG00000036257	CUL3	6	0.00192930920995	0.011815941621855187
ENSG00000091831	ESR1	7	0.0016410423675499999	0.0009718950696575787
ENSG00000100393	EP300	8	0.0014809680325599999	0.011714713633359384
ENSG00000116478	HDAC1	9	0.0014736758814599999	0.0011995737389599915
ENSG00000073111	MCM2	10	0.00140661282515	0.09693221227084887
ENSG00000136997	MYC	11	0.0013745346715499998	0.004360312309549535
ENSG00000123374	CDK2	12	0.00134531646909	0.00028018328812215714
ENSG00000096401	CDC5L	13	0.00127024754522	0.013087987366780672
ENSG00000012048	BRCA1	14	0.00126005902308	0.013482717727053636
ENSG00000197122	SRC	15	0.00119826761281	0.09964022768457345
ENSG00000100603	SNW1	16	0.00119497294622	0.003189011411365981
ENSG00000044090	CUL7	17	0.00118920143372	0.0006313892137373555
ENSG00000175104	TRAF6	18	0.0011637219544000002	0.0038869294466700667
ENSG00000135679	MDM2	19	0.0010436506301100001	0.03858409202083044
ENSG00000074266	EED	20	0.0010323060824	0.0005300047272427512
ENSG00000166949	SMAD3	21	0.00103206210437	0.0011581968964594661
ENSG00000075624	ACTB	22	0.0010244400309	30.83989568310401
ENSG00000055130	CUL1	23	0.00102071407267	0.0020755696729253615
ENSG00000124006	OBSL1	24	0.0010017477763099999	0.006547264620143542
ENSG00000134086	VHL	25	0.0009704895814790001	0.010569643697538222
ENSG00000097007	ABL1	26	0.0009496837872580001	0.0013056146273739948
ENSG00000142208	AKT1	27	0.000942445607748	0.0078193097579803
ENSG00000135250	SRPK2	28	0.000934753379459	0.0010417671193214185
ENSG00000177606	JUN	29	0.0009330112419229999	0.5938840332655656
ENSG00000010810	FYN	30	0.000903855633901	0.002537573108530505
ENSG00000175387	SMAD2	31	0.00086190580099	0.0111361952326036
ENSG00000168283	BMI1	32	0.0008404161103310001	0.0014124559158723772
ENSG00000082701	GSK3B	33	0.000834845808868	0.002479218908913609
ENSG00000111530	CAND1	34	0.0008210077482580001	0.030543995893445378
ENSG00000196591	HDAC2	35	0.000809780519893	0.016815689883304025
ENSG00000168610	STAT3	36	0.000806195786039	0.01795512468158283
ENSG00000100345	MYH9	37	0.000789012024447	2.3324031251172612
ENSG00000004487	KDM1A	38	0.0007843602869219999	0.0009653707049288123
ENSG00000132646	PCNA	39	0.0007758590578019999	0.007927584687881658
ENSG00000196924	FLNA	40	0.0007567922559269999	0.0004586762425758295
ENSG00000136146	MED4	41	0.000753786900115	0.00048515998949941067
ENSG00000106211	HSPB1	42	0.000749608112701	0.4140366825853208
ENSG00000254087	LYN	43	0.000747852879729	0.6573870844339201
ENSG00000151929	BAG3	44	0.000739427171652	1.757746151729235
ENSG00000169252	ADRB2	45	0.000735557725907	0.0009194933881281874
ENSG00000167193	CRK	46	0.00073457052469	0.0005817382648060409
ENSG00000088682	COQ9	47	0.0007279183111499999	0.0026830328922715805
ENSG00000141646	SMAD4	48	0.000725289514088	0.0009242288771543785
ENSG00000127445	PIN1	49	0.0007192893899380001	0.0002389001979636091
ENSG00000158092	NCK1	50	0.0007164317035529999	0.0003406075812655092
ENSG00000063244	U2AF2	51	0.000710980947466	0.034620211831422394
ENSG00000178691	SUZ12	52	0.000707476442296	0.013805824426987369
ENSG00000108840	HDAC5	53	0.0006997062441200001	0.04776233000261386
ENSG00000196419	XRCC6	54	0.0006889435201830001	0.04924068820684228
ENSG00000185591	SP1	55	0.0006796898422529999	0.022353294030918406
ENSG00000185359	HGS	56	0.000675484341024	0.003631592190767783
ENSG00000069869	NEDD4	57	0.0006726138975219999	0.0019068888894066863
ENSG00000147601	TERF1	58	0.000670174182228	0.0005254577186713146
ENSG00000141736	ERBB2	59	0.0006669887850819999	0.0007275657864113518
ENSG00000132604	TERF2	60	0.000663683972479	0.00032730495270338623
ENSG00000170365	SMAD1	61	0.0006556669435800001	0.0011815715176695298
ENSG00000170312	CDK1	62	0.000651620627948	0.01014191901505859
ENSG00000253729	PRKDC	63	0.000645031650842	1.4360518291465298
ENSG00000124181	PLCG1	64	0.000644310966855	0.00036900449337158635
ENSG00000167986	DDB1	65	0.000637731286372	0.5114665520296952
ENSG00000110395	CBL	66	0.000630905870862	0.03895541893245109
ENSG00000141480	ARRB2	67	0.0006272246581240001	0.0012172002079088083
ENSG00000143799	PARP1	68	0.00062541036942	0.06705230839696381
ENSG00000127191	TRAF2	69	0.0006137576042089999	0.0010475381248181786
ENSG00000188906	LRRK2	70	0.000608329070797	0.0015310840349761145
ENSG00000137486	ARRB1	71	0.000607620593365	0.009815173096096927
ENSG00000138376	BARD1	72	0.00060573811645	0.0031423159745180562
ENSG00000169375	SIN3A	73	0.0006050748109999999	0.002092088301921005
ENSG00000160691	SHC1	74	0.000604460159738	0.0009135098760499619
ENSG00000170345	FOS	75	0.0006002359859880001	0.05076189930420336
ENSG00000171720	HDAC3	76	0.0005961647340509999	0.0008730752483337339
ENSG00000140464	PML	77	0.000595073154297	0.00038998035491537547
ENSG00000188612	SUMO2	78	0.000594378448155	0.008990035942187205
ENSG00000116030	SUMO1	79	0.000593671915153	0.0018590698588023837
ENSG00000136238	RAC1	80	0.000590208478869	0.017505322202489074
ENSG00000128731	HERC2	81	0.000588803528045	0.048171901479221624
ENSG00000172977	KAT5	82	0.000588105462987	0.0004026109649798526
ENSG00000120738	EGR1	83	0.000587649971137	0.0012121144577614924
ENSG00000204843	DCTN1	84	0.0005875067362640001	0.05166592024219928
ENSG00000160789	LMNA	85	0.000584272869117	0.28316606179101234
ENSG00000105974	CAV1	86	0.000581167388218	0.0011021333778142891
ENSG00000086758	HUWE1	87	0.000579026072649	0.2663321308713038
ENSG00000079246	XRCC5	88	0.000576859831635	0.7599648459554073
ENSG00000161203	AP2M1	89	0.00057675244389	0.13923124551603253
ENSG00000078674	PCM1	90	0.000572540158277	3.586014319612753
ENSG00000164305	CASP3	91	0.0005674075454249999	0.0013277296943173924
ENSG00000166851	PLK1	92	0.000566376437155	0.0005152690890159468
ENSG00000100151	PICK1	93	0.00056401115361	0.00042879027563421117
ENSG00000046651	OFD1	94	0.000562017703261	0.0006227316043343232
ENSG00000124214	STAU1	95	0.0005565612206599999	0.0005351890013923207
ENSG00000070831	CDC42	96	0.0005561182795459999	0.05364297139258604
ENSG00000106462	EZH2	97	0.000552260120526	0.0028756972145370725
ENSG00000114166	KAT2B	98	0.0005518954154330001	0.0012008585984841264
ENSG00000108561	C1QBP	99	0.000551872977844	0.0008842584934157767
ENSG00000107175	CREB3	100	0.0005516733996399999	0.000996021110151195
ENSG00000109320	NFKB1	101	0.0005497305098240001	0.18678943223731298
ENSG00000087586	AURKA	102	0.000548965631462	0.014150911256202525
ENSG00000096063	SRPK1	103	0.00053616113581	0.01463084109973483
ENSG00000094631	HDAC6	104	0.000534700665699	0.0006457850770670772
ENSG00000135829	DHX9	105	0.000534067006704	0.11379792138752505
ENSG00000149311	ATM	106	0.000532411867042	0.05458696820863412
ENSG00000136807	CDK9	107	0.000531852980611	0.000508141460800192
ENSG00000064012	CASP8	108	0.0005310001095360001	0.0010043479694531493
ENSG00000108654	DDX5	109	0.000529745352529	0.8765134163929738
ENSG00000129351	ILF3	110	0.0005281857596019999	0.04306239383333832
ENSG00000143621	ILF2	111	0.000527865035701	0.016632601985125527
ENSG00000170315	UBB	112	0.000527527049271	0.12424109152524833
ENSG00000112592	TBP	113	0.000526036758722	0.00015275478463090697
ENSG00000089280	FUS	114	0.000522835396851	0.007532519864887716
ENSG00000001626	CFTR	115	0.000521102504279	0.0009160392828782709
ENSG00000115415	STAT1	116	0.000517626568576	0.06590694287546893
ENSG00000166266	CUL5	117	0.000517316606774	0.0031005759038385196
ENSG00000113194	FAF2	118	0.000513413600396	0.0006482608045275755
ENSG00000171862	PTEN	119	0.0005081534823199999	0.031843092796338734
ENSG00000162924	REL	120	0.00050439220191	0.051523346983265
ENSG00000104964	AES	121	0.000503031469688	0.002846550067352366
ENSG00000105401	CDC37	122	0.000502367350359	0.09679621518373391
ENSG00000101412	E2F1	123	0.000501326995099	0.0016430812513342713
ENSG00000204463	BAG6	124	0.000492639762503	0.01283766516683251
ENSG00000205937	RNPS1	125	0.0004911677799	0.2495888392178884
ENSG00000106089	STX1A	126	0.000490753323877	0.001288861796443054
ENSG00000134982	APC	127	0.000490615646724	0.0038609582772366723
ENSG00000155229	MMS19	128	0.0004895522653450001	0.0005649624137868799
