Gene_ID	Gene_Name	Rank	NetRank_Score
ENSG00000142192	APP	1	0.0024806508720041005
ENSG00000198400	NTRK1	2	0.0015372050736642416
ENSG00000082898	XPO1	3	0.0012032168398317415
ENSG00000150991	UBC	4	0.0010085912630360015
ENSG00000146648	EGFR	5	0.0009882153794385244
ENSG00000036257	CUL3	6	0.0009209589767403466
ENSG00000119977	TCTN3	7	0.0008286844626861579
ENSG00000177885	GRB2	8	0.0008008979457622176
ENSG00000186889	TMEM17	9	0.0007657509449412787
ENSG00000141510	TP53	10	0.0007290315332675079
ENSG00000080824	HSP90AA1	11	0.0006799184575178534
ENSG00000112559	MDFI	12	0.0006498460227138649
ENSG00000073111	MCM2	13	0.0006466435078541514
ENSG00000121022	COPS5	14	0.0006025031562026452
ENSG00000121481	RNF2	15	0.0005941185907214098
ENSG00000091831	ESR1	16	0.0005733561095165141
ENSG00000164924	YWHAZ	17	0.0005664835697768556
ENSG00000096384	HSP90AB1	18	0.0005656041539860298
ENSG00000116478	HDAC1	19	0.0005570980481183637
ENSG00000175104	TRAF6	20	0.0005497897334310813
ENSG00000123374	CDK2	21	0.0005342086542598614
ENSG00000135250	SRPK2	22	0.0005230435116041446
ENSG00000115414	FN1	23	0.0005180197791672776
ENSG00000197122	SRC	24	0.0005046389177364879
ENSG00000147804	SLC39A4	25	0.000489158724438208
ENSG00000012048	BRCA1	26	0.0004858409753028261
ENSG00000094916	CBX5	27	0.0004815471974083974
ENSG00000136997	MYC	28	0.0004787358354219698
ENSG00000100393	EP300	29	0.00047500898731102657
ENSG00000181163	NPM1	30	0.00046455060129604186
ENSG00000088682	COQ9	31	0.0004607587944373719
ENSG00000187531	SIRT7	32	0.0004559573952813924
ENSG00000182944	EWSR1	33	0.0004439966235348105
ENSG00000055130	CUL1	34	0.00044209925784994273
ENSG00000165280	VCP	35	0.00044046473633613345
ENSG00000134086	VHL	36	0.000431401583978394
ENSG00000142208	AKT1	37	0.00042582587640204285
ENSG00000168036	CTNNB1	38	0.0004236047918938386
ENSG00000151929	BAG3	39	0.00041918329599270837
ENSG00000072062	PRKACA	40	0.00040907407891676965
ENSG00000101266	CSNK2A1	41	0.000409029839698614
ENSG00000269335	IKBKG	42	0.0004074659756805388
ENSG00000173039	RELA	43	0.0004013746968515732
ENSG00000127191	TRAF2	44	0.0004009283030674889
ENSG00000107175	CREB3	45	0.0003988387487964419
ENSG00000108953	YWHAE	46	0.00039594684348452663
ENSG00000172531	PPP1CA	47	0.00039021499335548186
ENSG00000004487	KDM1A	48	0.00038659560724067267
ENSG00000082701	GSK3B	49	0.0003857030815567313
ENSG00000135679	MDM2	50	0.0003849254264813066
ENSG00000010810	FYN	51	0.00038052942829714314
ENSG00000096401	CDC5L	52	0.0003804402010238156
ENSG00000044090	CUL7	53	0.00037991051774917834
ENSG00000072803	FBXW11	54	0.000375835173813115
ENSG00000005339	CREBBP	55	0.00037349122249605006
ENSG00000135486	HNRNPA1	56	0.0003702746616113025
ENSG00000187049	TMEM216	57	0.00036867501218772506
ENSG00000103275	UBE2I	58	0.00036716800234411483
ENSG00000141480	ARRB2	59	0.00036654664410845915
ENSG00000166913	YWHAB	60	0.0003661650676303336
ENSG00000001626	CFTR	61	0.000365355520621687
ENSG00000169252	ADRB2	62	0.00036480240214554766
ENSG00000100603	SNW1	63	0.0003642101285581759
ENSG00000254087	LYN	64	0.00036285785714537254
ENSG00000168283	BMI1	65	0.00036238997076062376
ENSG00000231389	HLA-DPA1	66	0.00036222485842489895
ENSG00000186908	ZDHHC17	67	0.00035988820456110226
ENSG00000111530	CAND1	68	0.0003596211085398527
ENSG00000166946	CCNDBP1	69	0.0003593313819023038
ENSG00000162924	REL	70	0.00035833155831706417
ENSG00000044574	HSPA5	71	0.0003576828804927523
ENSG00000100030	MAPK1	72	0.0003570421611253517
ENSG00000204531	POU5F1	73	0.00035700968255354177
ENSG00000175387	SMAD2	74	0.00035679408549283445
ENSG00000124788	ATXN1	75	0.00035640091619051586
ENSG00000162735	PEX19	76	0.0003554270190005615
ENSG00000263528	IKBKE	77	0.00035378002456471326
ENSG00000166949	SMAD3	78	0.0003537798733843303
ENSG00000186298	PPP1CC	79	0.0003513359175232358
ENSG00000069869	NEDD4	80	0.0003502205704653458
ENSG00000181392	SYNE4	81	0.0003497757066126863
ENSG00000204713	TRIM27	82	0.00034882984406545977
ENSG00000130726	TRIM28	83	0.0003458474491427703
ENSG00000137486	ARRB1	84	0.00034549106644989454
ENSG00000075624	ACTB	85	0.00034031514579401076
ENSG00000100151	PICK1	86	0.0003382921951875514
ENSG00000070831	CDC42	87	0.00033807006908215953
ENSG00000011422	PLAUR	88	0.0003369135879463718
ENSG00000197153	HIST1H3J	89	0.00033629398040835426
ENSG00000278828	HIST1H3H	90	0.0003362939804083542
ENSG00000278272	HIST1H3C	91	0.0003362939804083542
ENSG00000277775	HIST1H3F	92	0.0003362939804083542
ENSG00000275714	HIST1H3A	93	0.0003362939804083542
ENSG00000275379	HIST1H3I	94	0.0003362939804083542
ENSG00000274267	HIST1H3B	95	0.0003362939804083542
ENSG00000273983	HIST1H3G	96	0.0003362939804083542
ENSG00000145675	PIK3R1	97	0.00033482246050121363
ENSG00000163565	IFI16	98	0.000334616019681837
ENSG00000097007	ABL1	99	0.0003327744132258243
ENSG00000132383	RPA1	100	0.00033227055402573595
ENSG00000168778	TCTN2	101	0.00033099830816970974
ENSG00000134308	YWHAQ	102	0.00032979395045168555
ENSG00000124006	OBSL1	103	0.0003297803357691923
ENSG00000186919	ZACN	104	0.0003258936441735717
ENSG00000185920	PTCH1	105	0.00032416243590782694
ENSG00000170365	SMAD1	106	0.000323486262656345
ENSG00000117748	RPA2	107	0.0003218789276261329
ENSG00000074266	EED	108	0.0003215105714116925
ENSG00000204435	CSNK2B	109	0.0003207450597113809
ENSG00000154229	PRKCA	110	0.0003177948211798864
ENSG00000167862	ICT1	111	0.0003161804587350402
ENSG00000177606	JUN	112	0.0003158890765136565
ENSG00000088986	DYNLL1	113	0.000315505719477892
ENSG00000106211	HSPB1	114	0.0003134498763946687
ENSG00000141646	SMAD4	115	0.0003129047927879726
ENSG00000131981	LGALS3	116	0.00031160462854263503
ENSG00000147601	TERF1	117	0.00031096828225396104
ENSG00000153187	HNRNPU	118	0.00030740232203804274
ENSG00000187555	USP7	119	0.00030552391834755716
ENSG00000116663	FBXO6	120	0.00030422201929367033
ENSG00000189043	NDUFA4	121	0.0003029473701040119
ENSG00000089159	PXN	122	0.0003027381844131505
ENSG00000102882	MAPK3	123	0.0003017987659735381
ENSG00000196591	HDAC2	124	0.00030140044206754463
ENSG00000196924	FLNA	125	0.00029997112348929047
ENSG00000139197	PEX5	126	0.00029840159938922657
ENSG00000136238	RAC1	127	0.000297681743479775
ENSG00000055732	MCOLN3	128	0.0002973519632432949
ENSG00000138668	HNRNPD	129	0.0002970283166046769
ENSG00000132604	TERF2	130	0.00029677325864266004
ENSG00000105568	PPP2R1A	131	0.0002963082564389563
ENSG00000169083	AR	132	0.0002948595431367251
ENSG00000160803	UBQLN4	133	0.0002929705493564739
ENSG00000166167	BTRC	134	0.0002916973987828735
ENSG00000141736	ERBB2	135	0.0002909047585930162
ENSG00000168610	STAT3	136	0.00029067740151905827
ENSG00000188906	LRRK2	137	0.00028949325788370467
ENSG00000096063	SRPK1	138	0.0002888686678402794
ENSG00000112062	MAPK14	139	0.0002887288135968587
ENSG00000100109	TFIP11	140	0.00028862934878017216
ENSG00000163631	ALB	141	0.00028652186992595655
ENSG00000109971	HSPA8	142	0.00028596760202469695
ENSG00000234745	HLA-B	143	0.00028589008607557973
ENSG00000167193	CRK	144	0.00028535210055533614
ENSG00000132646	PCNA	145	0.00028438808307975234
ENSG00000196628	TCF4	146	0.00028419720036247897
ENSG00000108561	C1QBP	147	0.0002839707970607159
ENSG00000167397	VKORC1	148	0.00028391280921254895
ENSG00000158092	NCK1	149	0.00028189084915193423
ENSG00000198898	CAPZA2	150	0.0002813658858128591
ENSG00000072401	UBE2D1	151	0.00028066132689212765
